Transfer Net,Driver,Receiver,Node,UI (ns),Floating Vref (V),VinMeas(H/L) Width (ns),Virtual Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Min Voltage (V),Max Voltage (V),Min Slew Time (ns),Max Slew Time (ns),Simulation,Max Eye Width (ns),Max Eye Width Voltage (V),VinMeas Left (V),VinMeas Right (V),VinMeas High Left (V),VinMeas Low Left (V),VinMeas High Right (V),VinMeas Low Right (V),AC Noise,AC Noise Source,Inner Eye Min (V),Inner Eye Max (V),Inner Eye Min Eye Time (ns),Inner Eye Min Sim Time (ns),Inner Eye Max Eye Time (ns),Inner Eye Max Sim Time (ns),Outer Eye Min (V),Outer Eye Max (V),Outer Eye Min Eye Time (ns),Outer Eye Min Sim Time (ns),Outer Eye Max Eye Time (ns),Outer Eye Max Sim Time (ns),VinMeas Width (ns),VinMeas Left Eye Time (ns),VinMeas Right Eye Time (ns),VinMeas Left Sim Time (ns),VinMeas Right Sim Time (ns),VinMeas(H/L) Left Eye Time (ns),VinMeas(H/L) Right Eye Time (ns),VinMeas(H/L) Left Sim Time (ns),VinMeas(H/L) Right Sim Time (ns),Virtual Left Eye Time (ns),Virtual Right Eye Time (ns),Virtual Left Sim Time (ns),Virtual Right Sim Time (ns),Eye Start Sim Time(ns),Eye Stop Sim Time (ns),Min Voltage Eye Time (ns),Min Voltage Sim Time (ns),Max Voltage Eye Time (ns),Max Voltage Sim Time (ns),VinMeas Left Low Eye Time (ns),VinMeas Left Low Sim Time (ns),VinMeas Left High Eye Time (ns),VinMeas Left High Sim Time (ns),VinMeas Right Low Eye Time (ns),VinMeas Right Low Sim Time (ns),VinMeas Right High Eye Time (ns),VinMeas Right High Sim Time (ns),Min Slew Rate (V/ns),Max Slew Rate (V/ns),Min DC Slew Rate (V/ns),Max DC Slew Rate (V/ns),Min AC Slew Rate (V/ns),Max AC Slew Rate (V/ns),Min SRIdiff Slew Rate (V/ns),Min SRIdiff Slew Rate Time (ns),Max SRIdiff Slew Rate (V/ns),Max SRIdiff Slew Rate Time (ns),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),SIMULATOR,AGGRESSORS,CORNER,$T1:DELAY,$T2:DELAY,$T4:DELAY,PATTERN
sheet1,IO0,Controller,Controller_pad,15.000,,14.817,14.817,0.104,2.440,4.434,-0.698,3.746,0.074,0.094,io0_ssse_3_1o5_0o75\io0_ssse_3_1o5_0o75.csd,14.994,0.944,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.378,2.818,23.965,128.965,25.075,55.075,-0.698,3.737,18.175,153.175,18.235,198.235,14.896,17.005,31.915,77.032,121.928,17.065,31.885,77.078,211.895,17.065,31.885,77.078,211.895,31.945,211.945,18.205,153.205,18.265,198.265,16.945,211.971,17.065,77.078,31.975,226.982,31.885,211.895,7.039,8.983,6.903,9.402,7.181,8.962,NoDef,NoDef,NoDef,NoDef,0.006,0.004,0.519,0.963,0.519,IsSpice4,0,SSSE,3in,1.5in,0.75in,default_clock
sheet1,IO1,Controller,Controller_pad,15.000,,14.830,14.830,0.089,2.435,4.514,-0.709,3.808,0.069,0.103,io1_ssse_3_1o5_0o75\io1_ssse_3_1o5_0o75.csd,14.993,1.004,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.385,2.820,23.749,218.749,24.979,204.979,-0.709,3.805,18.139,63.139,18.199,108.199,14.911,17.059,31.969,137.073,151.984,17.119,31.939,137.125,61.954,17.119,31.939,137.125,61.954,31.969,241.969,18.169,63.169,18.229,108.229,16.999,92.027,17.119,137.125,31.999,227.022,31.939,61.954,6.437,9.561,6.476,9.914,6.399,9.232,NoDef,NoDef,NoDef,NoDef,0.007,0.005,0.498,0.498,0.504,IsSpice4,0,SSSE,3in,1.5in,0.75in,default_clock
sheet1,Controller,IO0,IO0_pad,15.000,,14.788,14.788,0.131,2.528,4.380,-0.670,3.710,0.069,0.094,controller_ssse_3_1o5_1o5\controller_ssse_3_1o5_1o5.csd,14.995,0.819,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.307,2.835,23.685,98.685,23.685,83.685,-0.670,3.710,18.915,33.915,19.845,169.845,14.869,17.025,31.875,77.035,151.904,17.055,31.845,227.083,211.871,17.055,31.845,227.083,211.871,31.905,211.905,18.945,33.945,19.875,169.875,16.935,181.943,17.055,227.083,31.965,46.987,31.845,211.871,6.995,9.627,6.978,9.745,6.953,9.539,NoDef,NoDef,NoDef,NoDef,0.004,0.004,0.191,0.528,0.191,IsSpice4,0,SSSE,3in,1.5in,1.5in,default_clock
sheet1,Controller,IO1,IO1_pad,15.000,,14.810,14.810,0.116,2.650,4.533,-0.705,3.829,0.066,0.084,controller_ssse_3_1o5_1o5\controller_ssse_3_1o5_1o5.csd,14.994,0.851,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.279,2.929,24.197,39.197,25.247,145.247,-0.705,3.828,18.227,93.227,18.347,198.347,14.885,17.237,32.117,77.241,152.125,17.267,32.087,227.284,212.094,17.267,32.087,227.284,212.094,32.117,212.117,18.257,93.257,18.377,198.377,17.147,32.165,17.267,227.284,32.177,47.196,32.087,212.094,7.820,10.070,7.816,10.209,7.824,9.934,NoDef,NoDef,NoDef,NoDef,0.005,0.006,0.631,0.705,0.631,IsSpice4,0,SSSE,3in,1.5in,1.5in,default_clock
sheet1,IO0,Controller,Controller_pad,15.000,,14.819,14.819,0.101,2.753,4.119,-0.682,3.503,0.067,0.095,io0_ssse_3_1o5_1o5\io0_ssse_3_1o5_1o5.csd,14.986,0.928,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.143,2.896,24.366,159.366,23.916,173.916,-0.682,3.438,18.396,153.396,19.416,169.416,14.899,17.016,31.896,77.025,91.924,17.046,31.866,137.073,211.892,17.046,31.866,137.073,211.892,31.896,241.896,18.426,153.426,19.446,169.446,16.956,151.971,17.046,137.073,31.956,46.977,31.866,211.892,6.942,9.917,7.123,10.194,6.770,9.724,NoDef,NoDef,NoDef,NoDef,0.006,0.013,0.596,0.757,0.596,IsSpice4,0,SSSE,3in,1.5in,1.5in,default_clock
sheet1,IO1,Controller,Controller_pad,15.000,,14.815,14.815,0.106,2.489,4.519,-0.706,3.816,0.070,0.092,io1_ssse_3_1o5_1o5\io1_ssse_3_1o5_1o5.csd,14.993,0.906,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.398,2.887,24.133,39.133,25.273,55.273,-0.706,3.813,18.343,33.343,18.403,138.403,14.894,17.233,32.113,107.237,62.131,17.263,32.083,197.284,212.099,17.263,32.083,197.284,212.099,32.143,212.143,18.373,33.373,18.433,138.433,17.173,32.174,17.263,197.284,32.173,47.190,32.083,212.099,7.211,9.426,7.423,9.782,6.917,9.110,NoDef,NoDef,NoDef,NoDef,0.004,0.006,0.467,0.535,0.467,IsSpice4,0,SSSE,3in,1.5in,1.5in,default_clock
sheet1,Controller,IO0,IO0_pad,15.000,,14.802,14.802,0.120,2.623,4.456,-0.658,3.802,0.065,0.093,controller_ssse_4_0o75_0o75\controller_ssse_4_0o75_0o75.csd,14.994,0.857,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.331,2.954,24.042,219.042,24.342,144.342,-0.658,3.798,19.182,34.182,18.792,78.792,14.880,17.082,31.962,197.090,61.970,17.112,31.932,197.136,211.938,17.112,31.932,197.136,211.938,31.962,211.962,19.212,34.212,18.822,78.822,16.992,122.009,17.112,197.136,32.022,227.038,31.932,211.938,7.063,10.194,7.007,10.351,7.119,10.066,NoDef,NoDef,NoDef,NoDef,0.009,0.005,0.197,0.429,0.197,IsSpice4,0,SSSE,4in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,IO1_pad,15.000,,14.797,14.797,0.124,2.686,4.517,-0.701,3.824,0.071,0.099,controller_ssse_4_0o75_0o75\controller_ssse_4_0o75_0o75.csd,14.992,0.865,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.250,2.936,24.173,39.173,23.963,83.963,-0.698,3.819,17.813,122.813,18.053,138.053,14.876,17.273,32.153,197.291,62.167,17.333,32.123,137.340,122.137,17.333,32.123,137.340,122.137,32.153,212.153,17.843,122.843,18.083,138.083,17.183,152.210,17.333,137.340,32.213,107.237,32.123,122.137,6.662,9.305,6.778,9.566,6.551,9.057,NoDef,NoDef,NoDef,NoDef,0.010,0.006,0.475,0.475,0.489,IsSpice4,0,SSSE,4in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,Controller_pad,15.000,,14.797,14.797,0.125,2.842,4.564,-0.705,3.859,0.065,0.094,io0_ssse_4_0o75_0o75\io0_ssse_4_0o75_0o75.csd,14.992,0.855,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.277,3.118,24.666,189.666,24.006,54.006,-0.704,3.859,18.666,33.666,18.846,168.846,14.875,17.046,31.926,47.073,121.948,17.106,31.896,47.119,61.916,17.106,31.896,47.119,61.916,31.926,241.926,18.696,33.696,18.876,168.876,16.986,211.989,17.106,47.119,32.016,77.023,31.896,61.916,7.024,10.132,6.844,10.237,7.106,10.030,NoDef,NoDef,NoDef,NoDef,0.005,0.007,0.277,0.652,0.277,IsSpice4,0,SSSE,4in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,Controller_pad,15.000,,14.798,14.798,0.111,2.606,4.545,-0.709,3.835,0.075,0.110,io1_ssse_4_0o75_0o75\io1_ssse_4_0o75_0o75.csd,14.993,0.939,1.320,1.320,1.650,0.990,1.650,0.990,0.000,Tnet,0.258,2.864,25.326,40.326,24.936,144.936,-0.709,3.835,18.126,33.126,18.366,78.366,14.889,17.256,32.166,47.279,182.169,17.316,32.106,167.336,92.133,17.316,32.106,167.336,92.133,32.166,212.166,18.156,33.156,18.396,78.396,17.196,212.216,17.316,167.336,32.196,47.226,32.106,92.133,6.027,8.826,6.181,9.219,5.755,8.471,NoDef,NoDef,NoDef,NoDef,0.004,0.008,0.252,0.425,0.252,IsSpice4,0,SSSE,4in,0.75in,0.75in,default_clock
