Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,PATTERN,$RSERIESTERM,$W1:LENGTH,$W2:LENGTH,$W3:LENGTH
sheet3,source,target2,F,2.181,2.181,0.559,TTTE,4,62.957,10.000,0.000,SL_PAD/,target2_pad,2.582,2.582,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target2,R,2.184,2.184,0.934,TTTE,5,72.960,10.000,0.000,SL_PAD/,target2_pad,2.585,2.585,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target2,F,2.184,2.184,0.559,TTTE,6,82.960,10.000,0.000,SL_PAD/,target2_pad,2.585,2.585,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target2,R,2.184,2.184,0.933,TTTE,7,92.960,10.000,0.000,SL_PAD/,target2_pad,2.585,2.585,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target3,F,1.723,1.723,0.437,TTTE,2,32.499,20.000,0.000,SL_PAD/,target3_pad,2.124,2.124,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target3,R,1.724,1.724,2.858,TTTE,3,52.500,20.000,0.000,SL_PAD/,target3_pad,2.125,2.125,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target3,F,1.699,1.699,0.437,TTTE,4,62.475,10.000,0.000,SL_PAD/,target3_pad,2.100,2.100,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target3,R,1.700,1.700,2.833,TTTE,5,72.476,10.000,0.000,SL_PAD/,target3_pad,2.101,2.101,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target3,F,1.700,1.700,0.437,TTTE,6,82.476,10.000,0.000,SL_PAD/,target3_pad,2.101,2.101,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target3,R,1.700,1.700,2.835,TTTE,7,92.476,10.000,0.000,SL_PAD/,target3_pad,2.101,2.101,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet4,designator2,designator1,F,1.323,1.626,7.904,TTTE,2,32.238,20.000,0.303,SL_PAD/,designator1_pad,1.724,2.027,0.000,0.000,0.401,designator2_ttte\designator2_ttte.csd,0.00V,tnet,default_data,,,,
sheet4,designator2,designator1,R,1.323,1.623,7.982,TTTE,3,52.236,20.000,0.300,SL_PAD/,designator1_pad,1.724,2.024,0.000,0.000,0.401,designator2_ttte\designator2_ttte.csd,0.00V,tnet,default_data,,,,
sheet4,designator2,designator1,F,1.328,1.625,8.069,TTTE,4,62.240,10.000,0.297,SL_PAD/,designator1_pad,1.729,2.026,0.000,0.000,0.401,designator2_ttte\designator2_ttte.csd,0.00V,tnet,default_data,,,,
sheet4,designator2,designator1,R,1.324,1.625,7.977,TTTE,5,72.238,10.000,0.301,SL_PAD/,designator1_pad,1.725,2.026,0.000,0.000,0.401,designator2_ttte\designator2_ttte.csd,0.00V,tnet,default_data,,,,
sheet4,designator2,designator1,F,1.328,1.636,7.795,TTTE,6,82.243,10.000,0.308,SL_PAD/,designator1_pad,1.729,2.037,0.000,0.000,0.401,designator2_ttte\designator2_ttte.csd,0.00V,tnet,default_data,,,,
sheet4,designator2,designator1,R,1.325,1.628,7.939,TTTE,7,92.239,10.000,0.303,SL_PAD/,designator1_pad,1.726,2.029,0.000,0.000,0.401,designator2_ttte\designator2_ttte.csd,0.00V,tnet,default_data,,,,
