Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,K13, DAI_P18,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,K14, DAI_P15,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,K2, DPI_P04,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,K3, DPI_P05,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,K4, DPI_P09,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,L1, DAI_P03,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,L11, DAI_P10,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,L12, DAI_P20,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,L13, DAI_P17,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,L14, DAI_P04,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,L2, DPI_P10,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,L3, DPI_P08,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,L4, DPI_P06,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M1, DPI_P13,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M10, SD_SDO,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M11, DAI_P06,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M12, DAI_P05,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M13, DAI_P08,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M14, DAI_P12,PDU12SDGZ,I/O,
Part pin not referenced in Transfer Net List,ad2147x_196_ibs,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,M2, DPI_P12,PDU12SDGZ,I/O,
