Transfer Net,Driver,Receiver,Simulation,Node,Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Min Slew Time (ns),Max Slew Time (ns),Min Voltage (V),Max Voltage (V),UI (ns),VinMeas(H/L) Width (ns),Virtual Eye Width (ns),VinMeas Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Inner Eye Min (V),Inner Eye Max (V),Outer Eye Min (V),Outer Eye Max (V),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),Corner,Ac Noise,Ac Noise Source,$T1:DELAY,$T2:DELAY,$T4:DELAY,PATTERN
sheet1,IO1,Controller,io1_ssse_5_0o75_0o75\io1_ssse_5_0o75_0o75.csd,Controller_pad,7.513,4.144,1.344,1.448,1.402,1.487,0.071,0.096,-0.705,3.823,15.000,14.778,14.857,14.859,0.141,2.629,4.523,0.342,2.971,-0.705,3.819,0.011,0.007,0.397,0.418,0.397,SSSE,0.00V,tnet,5in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,IO0_pad,6.653,3.934,1.134,1.225,1.204,2.347,0.065,0.088,-0.654,3.780,15.000,13.858,13.787,14.871,0.129,2.519,4.427,0.327,2.846,-0.654,3.773,0.005,0.003,-0.133,0.112,-0.133,SSSE,0.00V,tnet,5in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,controller_ssse_5_0o75_1o5\controller_ssse_5_0o75_1o5.csd,IO1_pad,7.373,4.271,1.471,1.567,1.553,1.627,0.068,0.093,-0.711,3.875,15.000,14.802,14.844,14.881,0.119,2.458,4.586,0.363,2.821,-0.711,3.875,0.005,0.004,0.521,0.521,0.530,SSSE,0.00V,tnet,5in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,io0_ssse_5_0o75_1o5\io0_ssse_5_0o75_1o5.csd,Controller_pad,7.737,3.928,1.128,1.229,1.189,1.263,0.063,0.097,-0.699,3.858,15.000,14.782,14.865,14.857,0.143,1.991,4.556,0.657,2.648,-0.699,3.857,0.007,0.008,0.333,0.572,0.333,SSSE,0.00V,tnet,5in,0.75in,1.5in,default_clock
sheet1,IO1,Controller,io1_ssse_5_0o75_1o5\io1_ssse_5_0o75_1o5.csd,Controller_pad,7.373,4.280,1.480,1.594,1.553,1.627,0.067,0.109,-0.694,3.842,15.000,14.777,14.853,14.868,0.132,2.564,4.529,0.375,2.939,-0.694,3.835,0.006,0.002,0.402,0.402,0.450,SSSE,0.00V,tnet,5in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,controller_ssse_5_1o5_0o75\controller_ssse_5_1o5_0o75.csd,IO0_pad,7.574,4.075,1.275,1.370,1.354,1.426,0.064,0.091,-0.668,3.773,15.000,14.805,14.849,14.877,0.123,2.550,4.441,0.323,2.873,-0.668,3.773,0.006,0.008,0.667,0.826,0.667,SSSE,0.00V,tnet,5in,1.5in,0.75in,default_clock
sheet1,Controller,IO1,controller_ssse_5_1o5_0o75\controller_ssse_5_1o5_0o75.csd,IO1_pad,7.522,4.143,1.343,1.437,1.399,1.478,0.069,0.090,-0.672,3.702,15.000,14.785,14.865,14.861,0.139,2.569,4.365,0.315,2.884,-0.672,3.693,0.006,0.006,0.622,0.622,0.674,SSSE,0.00V,tnet,5in,1.5in,0.75in,default_clock
sheet1,IO0,Controller,io0_ssse_5_1o5_0o75\io0_ssse_5_1o5_0o75.csd,Controller_pad,7.565,4.100,1.300,1.389,1.362,1.435,0.065,0.084,-0.708,3.836,15.000,14.788,14.865,14.863,0.137,1.993,4.532,0.521,2.514,-0.708,3.824,0.006,0.004,0.448,0.863,0.448,SSSE,0.00V,tnet,5in,1.5in,0.75in,default_clock
sheet1,IO1,Controller,io1_ssse_5_1o5_0o75\io1_ssse_5_1o5_0o75.csd,Controller_pad,7.527,4.122,1.322,1.413,1.402,1.473,0.064,0.090,-0.709,3.819,15.000,14.805,14.849,14.881,0.120,2.282,4.528,0.406,2.688,-0.709,3.819,0.004,0.006,0.576,0.706,0.576,SSSE,0.00V,tnet,5in,1.5in,0.75in,default_clock
sheet1,Controller,IO0,controller_ssse_5_1o5_1o5\controller_ssse_5_1o5_1o5.csd,IO0_pad,7.588,4.077,1.277,1.366,1.339,1.412,0.066,0.085,-0.671,3.738,15.000,14.790,14.865,14.864,0.137,2.541,4.409,0.306,2.847,-0.671,3.738,0.006,0.006,0.224,0.382,0.224,SSSE,0.00V,tnet,5in,1.5in,1.5in,default_clock
sheet1,Controller,IO1,controller_ssse_5_1o5_1o5\controller_ssse_5_1o5_1o5.csd,IO1_pad,7.369,4.275,1.475,1.570,1.557,1.631,0.068,0.089,-0.701,3.832,15.000,14.802,14.844,14.881,0.119,2.466,4.532,0.383,2.849,-0.700,3.831,0.008,0.005,0.607,0.739,0.607,SSSE,0.00V,tnet,5in,1.5in,1.5in,default_clock
sheet1,IO0,Controller,io0_ssse_5_1o5_1o5\io0_ssse_5_1o5_1o5.csd,Controller_pad,7.612,4.079,1.279,1.368,1.315,1.388,0.068,0.084,-0.691,3.847,15.000,14.763,14.891,14.838,0.162,1.732,4.538,0.733,2.466,-0.691,3.847,0.006,0.005,0.254,0.566,0.254,SSSE,0.00V,tnet,5in,1.5in,1.5in,default_clock
sheet1,IO1,Controller,io1_ssse_5_1o5_1o5\io1_ssse_5_1o5_1o5.csd,Controller_pad,7.370,4.281,1.481,1.575,1.558,1.630,0.065,0.089,-0.709,3.829,15.000,14.799,14.851,14.880,0.120,2.319,4.520,0.366,2.686,-0.709,3.811,0.003,0.006,0.571,0.614,0.571,SSSE,0.00V,tnet,5in,1.5in,1.5in,default_clock
sheet1,Controller,IO0,controller_ssse_6_0o75_0o75\controller_ssse_6_0o75_0o75.csd,IO0_pad,7.525,4.139,1.339,1.430,1.404,1.475,0.064,0.091,-0.670,3.779,15.000,14.788,14.864,14.863,0.137,2.642,4.448,0.284,2.926,-0.670,3.779,0.003,0.007,0.165,0.409,0.165,SSSE,0.00V,tnet,6in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,controller_ssse_6_0o75_0o75\controller_ssse_6_0o75_0o75.csd,IO1_pad,7.321,4.318,1.518,1.617,1.602,1.679,0.069,0.098,-0.700,3.817,15.000,14.805,14.839,14.883,0.117,2.483,4.503,0.377,2.860,-0.700,3.804,0.003,0.007,0.469,0.469,0.510,SSSE,0.00V,tnet,6in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,io0_ssse_6_0o75_0o75\io0_ssse_6_0o75_0o75.csd,Controller_pad,7.534,4.129,1.329,1.418,1.395,1.466,0.065,0.084,-0.704,3.859,15.000,14.792,14.863,14.866,0.134,2.192,4.558,0.549,2.741,-0.704,3.854,0.006,0.006,0.295,0.833,0.295,SSSE,0.00V,tnet,6in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,io1_ssse_6_0o75_0o75\io1_ssse_6_0o75_0o75.csd,Controller_pad,7.320,4.331,1.531,1.631,1.599,1.680,0.068,0.096,-0.707,3.842,15.000,14.784,14.851,14.865,0.135,2.391,4.549,0.421,2.812,-0.707,3.842,0.006,0.009,0.278,0.278,0.301,SSSE,0.00V,tnet,6in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,IO0_pad,6.459,4.115,1.315,1.404,1.399,2.541,0.065,0.089,-0.670,3.761,15.000,13.862,13.774,14.885,0.115,2.580,4.430,0.227,2.807,-0.669,3.761,0.004,0.006,-0.104,0.087,-0.104,SSSE,0.00V,tnet,6in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,controller_ssse_6_0o75_1o5\controller_ssse_6_0o75_1o5.csd,IO1_pad,7.173,4.480,1.680,1.792,1.747,1.827,0.073,0.106,-0.710,3.874,15.000,14.775,14.853,14.859,0.141,2.432,4.583,0.358,2.790,-0.710,3.873,0.008,0.007,0.490,0.490,0.511,SSSE,0.00V,tnet,6in,0.75in,1.5in,default_clock
