Setup Margin (ns),Hold Margin (ns),Data R/F,Transfer Net,Driver,Receiver,UI (ns),Min Data Etch Delay (ns),Max Data Etch Delay (ns),Min Tco (ns),Max Tco (ns),Setup (ns),Hold (ns),Setup Skew (ns),Hold Skew (ns),Source Clock Net,Target Clock Net,Simulation,Corner
7.970,3.740,R,sheet1,IO0,Controller,15.000,0.940,1.030,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_4_0o75_1o5\io0_ssse_4_0o75_1o5.csd,SSSE
7.917,3.808,F,sheet1,IO0,Controller,15.000,1.008,1.083,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_4_0o75_1o5\io0_ssse_4_0o75_1o5.csd,SSSE
7.635,4.063,R,sheet1,IO1,Controller,15.000,1.263,1.365,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_4_0o75_1o5\io1_ssse_4_0o75_1o5.csd,SSSE
7.561,4.150,F,sheet1,IO1,Controller,15.000,1.350,1.439,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_4_0o75_1o5\io1_ssse_4_0o75_1o5.csd,SSSE
7.834,3.863,R,sheet1,Controller,IO0,15.000,1.063,1.166,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_1o5_0o75\controller_ssse_4_1o5_0o75.csd,SSSE
7.781,3.946,F,sheet1,Controller,IO0,15.000,1.146,1.219,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_1o5_0o75\controller_ssse_4_1o5_0o75.csd,SSSE
7.779,3.931,R,sheet1,Controller,IO1,15.000,1.131,1.221,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_1o5_0o75\controller_ssse_4_1o5_0o75.csd,SSSE
7.712,4.008,F,sheet1,Controller,IO1,15.000,1.208,1.288,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_1o5_0o75\controller_ssse_4_1o5_0o75.csd,SSSE
7.836,3.879,R,sheet1,IO0,Controller,15.000,1.079,1.164,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_4_1o5_0o75\io0_ssse_4_1o5_0o75.csd,SSSE
7.784,3.947,F,sheet1,IO0,Controller,15.000,1.147,1.216,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_4_1o5_0o75\io0_ssse_4_1o5_0o75.csd,SSSE
7.786,3.918,R,sheet1,IO1,Controller,15.000,1.118,1.214,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_4_1o5_0o75\io1_ssse_4_1o5_0o75.csd,SSSE
