Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,41, 2s_hstl15c1_rtio_d6,2s_hstl15c1_rtio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,42, 2s_hstl15c1_rtio_d8,2s_hstl15c1_rtio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,43, 2s_hstl15c2_cio_d16,2s_hstl15c2_cio_d16,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,44, 2s_hstl15c2_cio_d18,2s_hstl15c2_cio_d18,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,45, 2s_hstl15c2_cio_d20,2s_hstl15c2_cio_d20,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,46, 2s_hstl15_cin,2s_hstl15_cin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,47, 2s_hstl15_rrin,2s_hstl15_rrin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,48, 2s_hstl15_rtin,2s_hstl15_rtin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,49, 2s_hstl18c1_cio_d4,2s_hstl18c1_cio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,50, 2s_hstl18c1_cio_d6,2s_hstl18c1_cio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,51, 2s_hstl18c1_cio_d8,2s_hstl18c1_cio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,52, 2s_hstl18c1_cio_d10,2s_hstl18c1_cio_d10,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,53, 2s_hstl18c1_cio_d12,2s_hstl18c1_cio_d12,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,54, 2s_hstl18c1_rrio_d4,2s_hstl18c1_rrio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,55, 2s_hstl18c1_rrio_d6,2s_hstl18c1_rrio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,56, 2s_hstl18c1_rrio_d8,2s_hstl18c1_rrio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,57, 2s_hstl18c1_rrio_d10,2s_hstl18c1_rrio_d10,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,58, 2s_hstl18c1_rrio_d12,2s_hstl18c1_rrio_d12,I/O,
